"content","science_id","slug","id","title","image_path"
"Кинематикой называют раздел механики, в котором движение тел рассматривается без выяснения причин этого движения.

Механическим движением тела называют изменение его положения в пространстве относительно других тел с течением времени.

Всякое тело имеет определенные размеры. Однако, во многих задачах механики нет необходимости указывать положения отдельных частей тела. Если размеры тела малы по сравнению с расстояниями до других тел, то данное тело можно считать материальной точкой. Так при движении автомобиля на большие расстояния можно пренебречь его длиной, так как длина автомобиля мала по сравнению с расстояниями, которое он проходит.","a5790123-a043-4770-b101-1e85b2b04ca2","kinematika","025e34f7-f9e4-40a8-9ed1-8136910cfe37","Кинематика",NULL
"Статикой называется раздел механики, изучающий условия равновесия тел. Равновесием называют такое состояние тела или системы тел, в котором оно не движется в данной системе отсчета. Различают три вида равновесия:

Устойчивое равновесие. Если систему вывести из состояния устойчивого равновесия, то она самопроизвольно в него вернется, то есть при выведении из положения равновесия возникает сила, возвращающая систему к равновесию. Для этого необходимо, чтобы потенциальная энергия системы в состоянии устойчивого равновесия имела минимальное значение. Любая физическая система стремится к состоянию устойчивого равновесия. Это значит, что любой самопроизвольный процесс всегда проходит с уменьшением потенциальной энергии.
Неустойчивое равновесие. В данном случае при выведении из состояния равновесия возникают силы, уводящие систему от равновесия, и система самопроизвольно не может в него вернуться. В состоянии неустойчивого равновесия потенциальная энергия системы имеет максимальное значение.
Безразличное равновесие. При выведении из состояния равновесия в системе не возникает ни возвращающих, ни уводящих в сторону сил.
Из второго закона Ньютона следует, что если геометрическая сумма всех внешних сил, приложенных к невращающемуся телу, равна нулю, то тело находится в состоянии покоя или совершает равномерное прямолинейное движение (действительно, ведь ускорение тела при этом равно нулю). В этом случае принято говорить, что силы, приложенные к телу, уравновешивают друг друга. При вычислении равнодействующей силы все силы, действующие на тело, можно прикладывать к центру масс. Центр масс (или центр тяжести) – точка к которой приложена сила тяжести, действующая на тело.

Чтобы невращающееся тело находилось в равновесии, необходимо, чтобы равнодействующая всех сил, приложенных к телу, была равна нулю. Иными словами, векторная сумма всех сил, приложенных к телу должна быть равна нолю","a5790123-a043-4770-b101-1e85b2b04ca2","statika","1b4ee882-0b62-41bf-ab79-51f56c558d10","Статика",NULL
"Молекулярно-кинетической теорией называют учение о строении и свойствах вещества на основе представления о существовании атомов и молекул как наименьших частиц химического вещества. В основе молекулярно-кинетической теории лежат три основных положения:

Все вещества – жидкие, твердые и газообразные – образованы из мельчайших частиц – молекул, которые сами состоят из атомов («элементарных молекул»). Молекулы химического вещества могут быть простыми и сложными и состоять из одного или нескольких атомов. Молекулы и атомы представляют собой электрически нейтральные частицы. При определенных условиях молекулы и атомы могут приобретать дополнительный электрический заряд и превращаться в положительные или отрицательные ионы (соответственно: катионы и анионы).
Атомы и молекулы находятся в непрерывном хаотическом движении и взаимодействии, скорость которого зависит от температуры, а характер – от агрегатного состояния вещества.
Частицы взаимодействуют друг с другом силами, имеющими электрическую природу. Гравитационное взаимодействие между частицами пренебрежимо мало.","a5790123-a043-4770-b101-1e85b2b04ca2","molekularnaya","35ea9e9f-6182-4a78-a72d-204fdfc3a6f7","Молекулярная физика",NULL
"Функция – это соответствие вида y = f(x) между переменными величинами, в силу которого каждому рассматриваемому значению некоторой переменной величины x (аргумента или независимой переменной) соответствует определенное значение другой переменной величины, y (зависимой переменной, иногда это значение просто называют значением функции). Обратите внимание, что функция подразумевает, что одному значению аргумента х может соответствовать только одно значение зависимой переменной у. При этом одно и то же значение у может быть получено при различных х.

Область определения функции – это все значения независимой переменной (аргумента функции, обычно это х), при которых функция определена, т.е. ее значение существует. Обозначается область определения D(y). По большому счету Вы уже знакомы с этим понятием. Область определения функции по другому называется областью допустимых значений, или ОДЗ, которую Вы давно умеете находить.

Область значений функции – это все возможные значения зависимой переменной данной функции. Обозначается Е(у).

Функция возрастает на промежутке, на котором большему значению аргумента соответствует большее значение функции. Функция убывает на промежутке, на котором большему значению аргумента соответствует меньшее значение функции.

Промежутки знакопостоянства функции – это промежутки независимой переменной, на которых зависимая переменная сохраняет свой положительный или отрицательный знак.

Нули функции – это такие значения аргумента, при которых величина функции равна нулю. В этих точках график функции пересекает ось абсцисс (ось ОХ). Очень часто необходимость найти нули функции означает необходимость просто решить уравнение. Также часто необходимость найти промежутки знакопостоянства означает необходимость просто решить неравенство.

Функцию y = f(x) называют четной, если она определена на симметричном множестве и для любого х из области определения выполняется равенство:","fad913dc-0d25-4dbf-8f13-5f49a8b14d94","plots","40c0eb6c-0a82-4656-aa62-589092dd94bd","Графики функций",NULL
"Динамика – раздел механики, который изучает взаимодействия тел, причины возникновения движения и тип возникающего движения. Взаимодействие – процесс, в ходе которого тела оказывают взаимное действие друг на друга. В физике все взаимодействия обязательно парные. Это значит, что тела взаимодействуют друг с другом парами. То есть всякое действие обязательно порождает противодействие.","a5790123-a043-4770-b101-1e85b2b04ca2","dinamika","4ea80e77-1d4e-483d-afe8-15feebeed871","Динамика",NULL
"Электростатика — наука, изучающая взаимодействие неподвижных электрических зарядов,— основывается на трех экспериментальных фактах:

1. В природе существуют два сорта электрических зарядов — положительные и отрицательные заряды.

2. Между двумя точечными зарядами, т. е. зарядами, размерами которых можно пренебречь по сравнению с расстоянием между ними, действует сила, определяемая законом Кулона:

F = 1/4πε0 • q1q2/r2.

3. Если есть несколько зарядов, то взаимодействие любых двух из них не зависит от присутствия остальных. Это так называемый принцип суперпозиции.

Все остальное в электростатике является следствием этих трех экспериментальных фактов.","a5790123-a043-4770-b101-1e85b2b04ca2","electrostatika","60b92481-810e-4b39-bfd1-2c379c212f72","Электростатика",NULL
"Оптикой называется раздел физики:

изучающий связанные с видимым для человеческого глаза спектром электромагнитных волн и сопряжённых с ним (инфракрасное и рентгеновское излучения);
объясняющий появление, распространение света, эффекты и явления, связанные с ним.
В переводе с греческого – это наука о зрительных восприятиях.

Различают пару оптических моделей:

геометрическую – свет представляется в виде пучка лучей, передвигаемых по прямой и изгибаемых вследствие обхода препятствий;
физическую – рассматривает видимое излучение как электромагнитную волну, обладающую дифракцией и интерференцией, также демонстрирующую корпускулярные свойства.
Развившаяся в XX веке квантовая оптика объясняет свет с точки зрения квантовой механики. ","a5790123-a043-4770-b101-1e85b2b04ca2","optika","734fa765-397a-425d-a2fc-094045f6d36d","Оптика",NULL
"Специальная теория относительности (СТО) базируется на двух постулатах:

Принцип относительности: в любых инерциальных системах отсчета все физические явления при одних и тех же исходных условиях протекают одинаково, т.е. никакими опытами, проведенными в замкнутой системе тел, нельзя обнаружить покоится ли тело или движется равномерно и прямолинейно.
Принцип постоянства скорости света: во всех инерциальных системах отсчета скорость света в вакууме одинакова и не зависит от скорости движущегося источника света.
Равное с постулатами СТО имеет значение положение СТО о предельном характере скорости света в вакууме: скорость любого сигнала в природе не может превосходить скорость света в вакууме: c = 3∙108 м/с. При движении объектов со скоростью сопоставимой со скоростью света, наблюдаются различные эффекты, описанные далее.","a5790123-a043-4770-b101-1e85b2b04ca2","atomnaja","9a24c803-0821-4f1f-a7af-d8d8b2f94c43","Основы СТО, атомная и ядерная физика",NULL
"В проводниках при определенных условиях может возникнуть непрерывное упорядоченное движение свободных носителей электрического заряда. Такое движение называется электрическим током. За направление электрического тока принято направление движения положительных свободных зарядов, хотя в большинстве случае движутся электроны – отрицательно заряженные частицы.","a5790123-a043-4770-b101-1e85b2b04ca2","elektricheskij-tok","9aaf2b06-88da-4376-8dd5-474462fd6cc4","Электрический ток",NULL
"Уравнением называется математическое соотношение, выражающее равенство двух алгебраических выражений. Если равенство справедливо для любых допустимых значений входящих в него неизвестных, то оно называется тождеством; например, соотношение вида (x - 1)2 = (x - 1)(x - 1) выполняется при всех значениях переменной x. Для обозначения тождества часто вместо обычного знака равенства = пишут знак є, который читается ""тождественно равно"". Тождества используются в алгебре при записи разложения многочленов на множители (как в приведенном выше примере). Встречаются они и в тригонометрии в таких соотношениях, как sin2x + cos2x = 1, а в общем случае выражают формальное отношение между двумя на первый взгляд различными математическими выражениями. Если уравнение, содержащее переменную x, выполняется только при определенных, а не при всех значениях x, как в случае тождества, то может оказаться полезным определить те значения x, при которых это уравнение справедливо. Такие значения x называются корнями или решениями уравнения. Например, число 5 является корнем уравнения 2x + 7= 17. Уравнения служат мощным средством решения практических задач. Точный язык математики позволяет просто выразить факты и соотношения, которые, будучи изложенными обычным языком, могут показаться запутанными и сложными. Неизвестные величины, обозначаемые в задаче символами, например x, можно найти, сформулировав задачу на математическом языке в виде уравнений. Методы решения уравнений составляют в основном предмет того раздела математики, который называется теорией уравнений.","fad913dc-0d25-4dbf-8f13-5f49a8b14d94","equations","a649b58f-cf89-4143-a52e-e937539fd4c4","Уравнения",NULL
"Заряженные тела способны создавать кроме электрического еще один вид поля. Если заряды движутся, то в пространстве вокруг них создается особый вид материи, называемый магнитным полем. Следовательно, электрический ток, представляющий собой упорядоченное движение зарядов, тоже создает магнитное поле. Как и электрическое поле, магнитное поле не ограничено в пространстве, распространяется очень быстро, но все же с конечной скоростью. Его можно обнаружить только по действию на движущиеся заряженные тела (и, как следствие, токи).","a5790123-a043-4770-b101-1e85b2b04ca2","magnetizm","aefa620f-821b-49d5-b0bb-238b7b9204cf","Магнетизм",NULL
"В технике и окружающем нас мире часто приходится сталкиваться с периодическими процессами, которые повторяются через одинаковые промежутки времени. Такие процессы называют колебательными. Колебаниями называют изменения физической величины, происходящие по определенному закону во времени. Колебательные явления различной физической природы подчиняются общим закономерностям. Например, колебания тока в электрической цепи и колебания математического маятника могут описываться одинаковыми уравнениями. Общность колебательных закономерностей позволяет рассматривать колебательные процессы различной природы с единой точки зрения.","a5790123-a043-4770-b101-1e85b2b04ca2","kolebania","cc4612d6-be71-48e5-98aa-30386ddf8845","Колебания",NULL
"Термодинамика — раздел физики, в котором изучаются процессы изменения и превращения внутренней энергии тел, а также способы использования внутренней энергии тел в двигателях. Собственно, именно с анализа принципов первых тепловых машин, паровых двигателей и их эффективности и зародилась термодинамика. Можно сказать, что этот раздел физики начинается с небольшой, но очень важно работы молодого французского физика Николя Сади Карно. Самым важным законом, лежащим в основе термодинамики является первый закон или первое начало термодинамики. Чтобы понять суть этого закона, для начала, вспомним что называется внутренней энергией. ВНУТРЕННЯЯ ЭНЕРГИЯ тела — это энергия движения и взаимодействия частиц, из которых оно состоит. Нам хорошо известно, что внутреннюю энергию тела можно изменить, изменив температуру тела. А изменять температуру тела можно двумя способами: совершая работу (либо само тело совершает работу, либо над телом совершают работу внешние силы); осуществляя теплообмен — передачу внутренней энергии от одного тела к другому без совершения работы.","a5790123-a043-4770-b101-1e85b2b04ca2","termodinamika","f0522fa8-b3d7-4b8a-ab7d-8da49b60ed1b","Термодинамика",NULL
"Основным отличием жидкостей от твердых (упругих) тел является способность легко изменять свою форму. Части жидкости могут свободно сдвигаться, перемещаясь друг относительно друга. Поэтому жидкость принимает форму сосуда, в который она налита. В жидкость, как и в газообразную среду, можно погружать твердые тела. В отличие от газов жидкости практически несжимаемы. На тело, погруженное в жидкость или газ, действуют силы, распределенные по поверхности тела. Для описания таких распределенных сил в гидростатике вводится новая физическая величина – давление.","a5790123-a043-4770-b101-1e85b2b04ca2","gidrostatika","f5633069-6bd5-4c90-af11-b5bb8714e5ad","Гидростатика",NULL
"Треугольник - фигура, которая состоит из трёх точек, не лежащих на одной прямой, и трёх отрезков, попарно соединяющих эти точки. Точки называются вершинами треугольника, а отрезки - его сторонами.","fad913dc-0d25-4dbf-8f13-5f49a8b14d94","treugolniki","f80c1bca-5c13-4410-94c5-bd1cc0918694","Треугольники",NULL
